"hostid";"host";"name"
"14025";"CAX6-UCS1";"CAX6-UCS1"
"16230";"CAX6-UCS1-alta";"CAX6-UCS1-alta"
"14026";"CAX6-UCS2";"CAX6-UCS2"
"16231";"CAX6-UCS2-baixa";"CAX6-UCS2-baixa"
"17690";"CAX-BUSL01";"CAX-BUSL01"
"17691";"CAX-BUSL02";"CAX-BUSL02"
"17692";"CAX-BUSL03";"CAX-BUSL03"
"17693";"CAX-BUSL04";"CAX-BUSL04"
"17687";"CAX-BUSPP1";"CAX-BUSPP1"
"17685";"CAX-BUSPP2";"CAX-BUSPP2"
"17686";"CAX-BUSPP3";"CAX-BUSPP3"
"17694";"CAX-BUSTF1";"CAX-BUSTF1"
"17695";"CAX-BUSTF2";"CAX-BUSTF2"
"17688";"CAX-BUSTF3";"CAX-BUSTF3"
"17689";"CAX-BUSTIE";"CAX-BUSTIE"
"16700";"CAX-DM4100";"CAX-DM4100"
"16538";"CAX-DM705-01";"CAX-DM705-01"
"16539";"CAX-DM705-02";"CAX-DM705-02"
"16476";"CAX-DM880-01";"CAX-DM880-01"
"16477";"CAX-DM880-02";"CAX-DM880-02"
"14565";"CAXRDP_230_1";"CAXRDP_230_1"
"14566";"CAXRDP_525_1";"CAXRDP_525_1"
"14567";"CAXRDP_525_2";"CAXRDP_525_2"
"20083";"CAXRDP_525_3";"CAXRDP_525_3"
"20084";"CAXRDP_525_4";"CAXRDP_525_4"
"10557";"cax-rgr-24.54";"cax-rgr-24.54"
"16971";"cax-sw1";"cax-sw1"
"16972";"cax-sw2";"cax-sw2"
"16973";"cax-sw3";"cax-sw3"
"16974";"cax-sw4";"cax-sw4"
"16975";"cax-sw5";"cax-sw5"
"16976";"cax-sw6";"cax-sw6"
"16977";"cax-sw7";"cax-sw7"
"16978";"cax-sw8";"cax-sw8"
"17724";"CAX-TF3CD1";"CAX-TF3CD1"
"17725";"CAX-TF3CP1";"CAX-TF3CP1"
"16765";"cax-tmo";"cax-tmo"
"17700";"CAX-TR1PP1";"CAX-TR1PP1"
"17701";"CAX-TR2PP1";"CAX-TR2PP1"
"14013";"CAX-UCS1";"CAX-UCS1"
"16225";"CAX-UCS1-alta";"CAX-UCS1-alta"
"14014";"CAX-UCS2";"CAX-UCS2"
"16226";"CAX-UCS2-baixa";"CAX-UCS2-baixa"
"16174";"CBA_HL_RGR";"CBA_HL_RGR"
"14405";"CBA_HL1";"CBA_HL1"
"13797";"CBA_PRI";"CBA_PRI"
"13930";"CBA_SEC";"CBA_SEC"
"17788";"CBA-21";"CBA-21"
"17793";"CBA-25";"CBA-25"
"17785";"CBA-2L4PA1";"CBA-2L4PA1"
"17786";"CBA-2L4PP1";"CBA-2L4PP1"
"17794";"CBA-3DRPP1";"CBA-3DRPP1"
"17798";"CBA-3DRSY";"CBA-3DRSY"
"17799";"CBA-51UPBF";"CBA-51UPBF"
"17796";"CBA-51UPR";"CBA-51UPR"
"17797";"CBA-51UPS";"CBA-51UPS"
"17787";"CBA-52BFC";"CBA-52BFC"
"17780";"CBA-5A3PP1";"CBA-5A3PP1"
"17782";"CBA-5LA3PA1";"CBA-5LA3PA1"
"17781";"CBA-5LA3PP1";"CBA-5LA3PP1"
"17783";"CBA-5LB2PA1";"CBA-5LB2PA1"
"17784";"CBA-5LB2PP1";"CBA-5LB2PP1"
"17789";"CBA-87B_A";"CBA-87B_A"
"17790";"CBA-87B_B";"CBA-87B_B"
"17795";"CBA-87UPU";"CBA-87UPU"
"16542";"CBA-DM705-01";"CBA-DM705-01"
"16543";"CBA-DM705-02";"CBA-DM705-02"
"16420";"CBA-DM880-01";"CBA-DM880-01"
"16421";"CBA-DM880-02";"CBA-DM880-02"
"14568";"CBARDP_230_1";"CBARDP_230_1"
"14569";"CBARDP_525_1";"CBARDP_525_1"
"15984";"CBARDP_525_2";"CBARDP_525_2"
"10484";"cba-rgr-255.19";"cba-rgr-255.19"
"16987";"cba-sw1";"cba-sw1"
"16988";"cba-sw2";"cba-sw2"
"16989";"cba-sw3";"cba-sw3"
"16990";"cba-sw4";"cba-sw4"
"17791";"CBA-TD1";"CBA-TD1"
"17792";"CBA-TD2";"CBA-TD2"
"16768";"cba-tmo";"cba-tmo"
"14206";"CBA-UCS1";"CBA-UCS1"
"16232";"CBA-UCS1-alta";"CBA-UCS1-alta"
