"Nome","Hostname","IP","Status","Grupo"
"EDD-STA","EDD-STA","10.6.66.8","Desabilitado",""
"EDD-STA-2","EDD-STA-2","10.6.66.9","Desabilitado",""
"EDD-CCH","EDD-CCH","10.6.68.11","Desabilitado",""
"EDD-LIV2-1","EDD-LIV2-1","10.6.69.11","Desabilitado",""
"EDD-LIV2-2","EDD-LIV2-2","10.6.69.12","Desabilitado",""
"EDD-ALE-1","EDD-ALE-1","10.6.78.11","Desabilitado",""
"EDD-CCH-2","EDD-CCH-2","10.6.69.14","Desabilitado",""
"EDD-PFU","EDD-PFU","10.6.77.9","Desabilitado",""
"EDD-MCH","EDD-MCH","10.6.82.10","Desabilitado",""
"EDD-ANA","EDD-ANA","10.6.91.11","Desabilitado",""
"EDD-AQU","EDD-AQU","10.6.91.12","Desabilitado",""
"EDD-PME-1","EDD-PME-1","10.6.98.10","Desabilitado",""
"EDD-PME-2","EDD-PME-2","10.6.98.11","Desabilitado",""
"EDD-SMA3-10","EDD-SMA3-10","10.6.102.10","Desabilitado",""
"EDD-MBR-2","EDD-MBR-2","10.6.106.7","Desabilitado",""
"IRN_PRI","IRN_PRI","172.30.113.1","Desabilitado",""
"IRN_SEC","IRN_SEC","172.31.113.1","Desabilitado",""
"SW3-SED-CPD02","SW3-SED-CPD02","10.6.1.20","Desabilitado",""
"SW3-PFU-CLI","SW3-PFU-CLI","10.6.77.2","Desabilitado",""
"SW3-DRO-1","SW3-DRO-1","10.6.30.10","Desabilitado",""
"SW3-STA-CLI2","SW3-STA-CLI2","10.6.66.5","Desabilitado",""
"SW3-STA-CLI","SW3-STA-CLI","10.6.66.2","Desabilitado",""
"SW3-GRA-CLI","SW3-GRA-CLI","10.6.27.5","Desabilitado",""
"EDD-NPR2","EDD-NPR2","10.13.36.11","Desabilitado",""
"SDI_SEC","SDI_SEC","172.31.118.1","Desabilitado",""
"SDI_PRI","SDI_PRI","172.30.118.1","Desabilitado",""
"EDD-CZA","EDD-CZA","10.13.77.3","Desabilitado",""
"EDD-TPR2","EDD-TPR2","10.13.77.5","Desabilitado",""
"EDD-SMT","EDD-SMT","10.13.77.7","Desabilitado",""
"EDD-CHA-01","EDD-CHA-01","10.13.89.4","Desabilitado",""
"EDD-CHA-02","EDD-CHA-02","10.13.27.73","Desabilitado",""
"EDD-NSR-1","EDD-NSR-1","10.13.89.3","Desabilitado",""
"EDD-GRA","EDD-GRA","10.27.28.3","Desabilitado",""
"EDD-CEEE-01","EDD-CEEE-01","10.27.28.6","Desabilitado",""
"EDD-CEEE-02","EDD-CEEE-02","10.27.28.5","Desabilitado",""
"EDD-FAR","EDD-FAR","10.36.99.3","Desabilitado",""
"EDD-PIY","EDD-PIY","10.13.42.19","Desabilitado",""
"EDD-PVA","EDD-PVA","10.13.42.18","Desabilitado",""
"EDD-LND","EDD-LND","10.13.42.17","Desabilitado",""
"EDD-ROS","EDD-ROS","10.13.42.16","Desabilitado",""
"EDD-NAN","EDD-NAN","10.13.42.15","Desabilitado",""
"EDD-IVI","EDD-IVI","10.13.42.13","Desabilitado",""
"EDD-IVI2","EDD-IVI2","10.6.20.10","Desabilitado",""
"EDD-SMS","EDD-SMS","10.19.61.3","Desabilitado",""
"EDD-CAN","EDD-CAN","10.19.61.4","Desabilitado",""
"EDD-DOM","EDD-DOM","10.6.42.113","Desabilitado",""
"EDD-DOS","EDD-DOS","10.6.42.111","Desabilitado",""
"EDD-DOU-2","EDD-DOU-2","10.6.42.110","Desabilitado",""
"RET-LVH","RET-LVH","10.13.36.12","Desabilitado",""
"GUA_SEC","GUA_SEC","172.31.120.1","Desabilitado",""
"CVO_SEC","CVO_SEC","172.20.207.252","Desabilitado",""
"cose-sw1-94.46","cose-sw1-94.46","172.16.94.46","Desabilitado",""
"SBC_BIG","SBC_BIG","10.6.29.39","Desabilitado",""
"SBC_SEDE","SBC_SEDE","10.6.1.39","Desabilitado",""
"BIGRDP_230_4","BIGRDP_230_4","172.20.132.97","Desabilitado",""
"BIGRDP_525_2","BIGRDP_525_2","172.20.132.91","Desabilitado",""
"CNORDP_525_2","CNORDP_525_2","10.240.32.2","Desabilitado",""
"MRO2_SEC","MRO2_SEC","172.31.50.1","Desabilitado",""
"MRO2_PRI","MRO2_PRI","172.30.50.1","Desabilitado",""
"SPA2_PRI","SPA2_PRI","172.30.46.1","Desabilitado",""
"SPA2_SEC","SPA2_SEC","172.31.46.1","Desabilitado",""
"MBR3_SEC","MBR3_SEC","172.31.119.1","Desabilitado",""
"MBR_SEC","MBR_SEC","172.31.126.1","Desabilitado",""
"MBR3_PRI","MBR3_PRI","172.30.119.1","Desabilitado",""
"MBR_PRI","MBR_PRI","172.30.126.1","Desabilitado",""
"GUA_PRI","GUA_PRI","172.30.120.1","Desabilitado",""
"SMA3_SEC","SMA3_SEC","172.31.95.1","Desabilitado",""
"SMA3_PRI","SMA3_PRI","172.30.95.1","Desabilitado",""
